ticker,company_name,sector,as_of_date,close,cycle_phase,cycle_confidence,transition_risk,pending_phase,dwell_progress,composite_score,zigzag_score,stc_score,trend_score,candlestick_score,harmonic_pattern,gann_score,pe_ratio,pe_percentile_vs_universe,pb_ratio,dividend_yield_percent,earnings_quarterly_growth_percent
20MICRONS.NS,20 MICRONS LTD,Basic Materials,2026-09-22,216.4499969482422,EXPANSION,0.53,low,DISTRIBUTION,3/5,-0.012,-1.0,-0.598,0.95,0.0,,0.0,11.279312,14.7,1.579293,0.57,5.5
21STCENMGM.NS,21ST CENTURY MGMT SERVICE,Financial Services,2026-09-22,39.619998931884766,EXPANSION,0.58,low,,,0.266,0.0,-0.5,0.93,-1.0,,0.0,,,1.258457,0.0,294.7
360ONE.NS,360 ONE WAM LIMITED,Financial Services,2026-09-22,1073.5,DISTRIBUTION,0.53,low,CONTRACTION,3/5,-0.228,0.0,-0.5,-0.313,1.0,,0.0,35.735683,65.9,4.426202,1.68,16.1
3IINFOLTD.NS,3I INFOTECH LIMITED,Technology,2026-09-22,26.030000686645508,DISTRIBUTION,0.53,low,EXPANSION,3/5,0.633,1.0,0.984,0.963,0.0,,0.0,14.5419,26.0,1.4601448,0.0,-15.2
3MINDIA.NS,3M INDIA LIMITED,Industrials,2026-09-22,34220.0,CONTRACTION,0.71,medium,ACCUMULATION,2/5,0.153,0.0,0.875,-0.262,0.0,,0.0,66.911736,86.0,21.801926,0.46,31.2
3PLAND.NS,3P LAND HOLDINGS LIMITED,Unknown,2026-09-22,30.739999771118164,ACCUMULATION,0.67,medium,DISTRIBUTION,2/5,-0.185,0.0,-0.989,0.433,1.0,,0.0,,,,0.0,
5PAISA.NS,5PAISA CAPITAL LIMITED,Financial Services,2026-09-22,315.29998779296875,DISTRIBUTION,0.53,low,CONTRACTION,3/5,-0.376,-1.0,-0.5,0.493,-0.143,,0.0,24.179447,48.4,1.5192764,0.0,0.2
63MOONS.NS,63 MOONS TECHNOLOGIES LTD,Technology,2026-09-22,841.75,EXPANSION,0.67,medium,DISTRIBUTION,1/5,0.043,0.0,-0.582,0.711,1.0,,0.0,,,1.0925632,0.22,
A2ZINFRA.NS,A2Z INFRA ENGINEERING LTD,Industrials,2026-09-22,14.729999542236328,ACCUMULATION,0.71,low,CONTRACTION,3/5,-0.565,-1.0,-0.556,0.298,0.0,,0.0,70.14286,86.8,5.256959,0.0,-94.8
AAATECH.NS,AAA TECHNOLOGIES LIMITED,Technology,2026-09-22,93.7300033569336,EXPANSION,0.71,low,ACCUMULATION,1/5,-0.139,0.0,0.325,-0.538,1.0,,0.0,55.46154,81.2,3.9161863,1.06,6.3
