date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2019-01-23,10831.5,EXPANSION,0.67,low,0.587,HIGHER_HIGHS_HIGHER_LOWS,95.35,1.0,0.791,-0.029,0.03,-0.61,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2019-01-28,10661.5498046875,EXPANSION,0.33,medium,0.088,HIGHER_HIGHS_HIGHER_LOWS,37.27,1.0,-0.627,-0.108,-1.61,-0.56,FALLING,DISTRIBUTION,medium,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2019-01-31,10830.9501953125,EXPANSION,0.33,high,0.004,HIGHER_HIGHS_HIGHER_LOWS,4.66,1.0,-0.953,-0.034,-0.09,-0.59,FALLING,DISTRIBUTION,high,0.5,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2019-02-05,10934.349609375,EXPANSION,0.67,low,0.246,HIGHER_HIGHS_HIGHER_LOWS,19.82,1.0,-0.278,0.017,0.81,-0.47,RISING,DISTRIBUTION,low,0.0,,,0.0,0.0,
2019-02-08,10943.599609375,EXPANSION,1.0,low,0.621,HIGHER_HIGHS_HIGHER_LOWS,84.04,1.0,0.84,0.024,0.82,-0.35,RISING,EXPANSION,low,-1.0,DOJI,,0.0,-0.6,45
2019-02-14,10746.0498046875,EXPANSION,0.67,low,0.603,HIGHER_HIGHS_HIGHER_LOWS,87.95,1.0,0.88,-0.072,-1.03,-0.41,RISING,EXPANSION,low,-1.0,DOJI,,0.0,-0.6,49
2019-02-19,10604.349609375,EXPANSION,0.33,medium,0.021,HIGHER_HIGHS_HIGHER_LOWS,20.25,1.0,-0.797,-0.14,-2.34,-0.46,FALLING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
2019-02-22,10791.650390625,EXPANSION,0.67,high,-0.008,HIGHER_HIGHS_HIGHER_LOWS,2.53,1.0,-0.975,-0.049,-0.62,-0.36,FALLING,DISTRIBUTION,high,1.0,MORNING_STAR,,0.0,0.0,
2019-02-27,10806.650390625,EXPANSION,0.33,medium,0.162,HIGHER_HIGHS_HIGHER_LOWS,7.68,1.0,-0.472,-0.043,-0.5,-0.35,FALLING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
2019-03-05,10987.4501953125,EXPANSION,1.0,low,0.584,HIGHER_HIGHS_HIGHER_LOWS,71.25,1.0,0.713,0.038,1.14,-0.39,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2019-03-08,11035.400390625,EXPANSION,1.0,low,0.676,HIGHER_HIGHS_HIGHER_LOWS,96.41,1.0,0.964,0.063,1.55,-0.28,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2019-03-13,11341.7001953125,EXPANSION,1.0,low,0.661,HIGHER_HIGHS_HIGHER_LOWS,99.55,1.0,0.774,0.208,4.27,-0.11,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2019-03-18,11462.2001953125,EXPANSION,1.0,low,0.601,HIGHER_HIGHS_HIGHER_LOWS,99.94,1.0,0.534,0.268,5.24,0.11,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2019-03-22,11456.900390625,EXPANSION,1.0,low,0.593,HIGHER_HIGHS_HIGHER_LOWS,99.99,1.0,0.504,0.274,5.07,0.4,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2019-03-27,11445.0498046875,EXPANSION,1.0,low,0.592,HIGHER_HIGHS_HIGHER_LOWS,100.0,1.0,0.501,0.274,4.86,0.63,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2019-04-02,11713.2001953125,EXPANSION,1.0,low,0.635,HIGHER_HIGHS_HIGHER_LOWS,100.0,1.0,0.5,0.405,7.16,0.93,RISING,EXPANSION,low,-1.0,DOJI,,0.0,-0.6,45
2019-04-05,11665.9501953125,EXPANSION,1.0,low,0.63,HIGHER_HIGHS_HIGHER_LOWS,100.0,1.0,0.5,0.39,6.6,1.21,RISING,EXPANSION,low,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,-0.6,45
2019-04-10,11584.2998046875,EXPANSION,0.67,medium,0.288,HIGHER_HIGHS_HIGHER_LOWS,50.0,1.0,-0.5,0.363,5.74,1.51,FALLING,DISTRIBUTION,medium,-1.0,BEARISH_ENGULFING,,0.0,-0.6,49
2019-04-15,11690.349609375,EXPANSION,0.67,high,0.162,HIGHER_HIGHS_HIGHER_LOWS,6.25,1.0,-0.938,0.425,6.59,1.91,FALLING,DISTRIBUTION,high,-1.0,DOJI,,0.0,0.0,
2019-04-22,11594.4501953125,EXPANSION,0.67,medium,0.389,HIGHER_HIGHS_HIGHER_LOWS,25.78,1.0,-0.227,0.393,5.58,2.28,RISING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
2019-04-25,11641.7998046875,EXPANSION,0.67,high,0.151,HIGHER_HIGHS_HIGHER_LOWS,3.22,1.0,-0.966,0.42,5.88,2.52,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2019-05-02,11724.75,DISTRIBUTION,0.67,high,0.239,HIGHER_HIGHS_HIGHER_LOWS,0.4,1.0,-0.746,0.463,6.47,2.79,FALLING,DISTRIBUTION,high,-1.0,DOJI,,0.0,0.0,
2019-05-07,11497.900390625,DISTRIBUTION,0.67,medium,0.28,HIGHER_HIGHS_HIGHER_LOWS,0.05,1.0,-0.531,0.371,4.29,3.13,FALLING,DISTRIBUTION,medium,-1.0,DOJI,,0.0,0.0,
2019-05-10,11278.900390625,DISTRIBUTION,0.67,medium,0.26,HIGHER_HIGHS_HIGHER_LOWS,0.01,1.0,-0.504,0.283,2.24,3.42,FALLING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
2019-05-15,11157.0,DISTRIBUTION,0.67,medium,0.245,HIGHER_HIGHS_HIGHER_LOWS,0.0,1.0,-0.5,0.235,1.11,3.58,FALLING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
2019-05-20,11828.25,DISTRIBUTION,1.0,low,0.683,HIGHER_HIGHS_HIGHER_LOWS,50.0,1.0,0.5,0.55,7.12,3.88,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2019-05-23,11657.0498046875,DISTRIBUTION,1.0,low,0.807,HIGHER_HIGHS_HIGHER_LOWS,93.75,1.0,0.938,0.483,5.47,4.19,RISING,EXPANSION,low,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2019-05-28,11928.75,DISTRIBUTION,1.0,low,0.865,HIGHER_HIGHS_HIGHER_LOWS,99.22,1.0,0.977,0.617,7.82,4.52,RISING,EXPANSION,low,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2019-05-31,11922.7998046875,DISTRIBUTION,1.0,low,0.727,HIGHER_HIGHS_HIGHER_LOWS,99.9,1.0,0.56,0.621,7.68,4.75,RISING,EXPANSION,low,0.0,,,0.0,0.0,
