date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2019-01-21,251.54568481445312,DISTRIBUTION,0.67,low,0.101,EXPANDING_RANGE_VOLATILE,0.97,0.0,-0.479,0.782,9.89,5.75,RISING,DISTRIBUTION,low,1.0,DOJI,,0.0,0.0,
2019-01-24,255.5648956298828,DISTRIBUTION,1.0,low,0.544,EXPANDING_RANGE_VOLATILE,77.53,0.0,0.775,0.857,11.1,6.04,RISING,EXPANSION,low,-0.667,DOJI,,0.0,0.0,
2019-01-29,243.9193878173828,DISTRIBUTION,0.67,low,0.017,LOWER_HIGHS_LOWER_LOWS,46.44,-1.0,0.464,0.587,5.64,6.1,RISING,ACCUMULATION,low,-1.0,DOJI,,0.0,0.0,
2019-02-01,254.86184692382812,DISTRIBUTION,0.67,low,-0.352,LOWER_HIGHS_LOWER_LOWS,13.86,-1.0,-0.861,0.804,9.91,6.17,FALLING,CONTRACTION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2019-02-06,262.8954162597656,DISTRIBUTION,0.67,medium,0.536,HIGHER_HIGHS_HIGHER_LOWS,24.91,1.0,-0.349,0.958,12.88,6.28,FALLING,DISTRIBUTION,medium,0.6,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2019-02-11,257.6544494628906,DISTRIBUTION,1.0,low,0.899,HIGHER_HIGHS_HIGHER_LOWS,87.86,1.0,0.879,0.817,10.08,6.26,RISING,EXPANSION,low,-0.667,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2019-02-15,248.33612060546875,DISTRIBUTION,1.0,low,0.794,HIGHER_HIGHS_HIGHER_LOWS,80.07,1.0,0.801,0.582,5.64,6.0,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2019-02-20,252.704345703125,DISTRIBUTION,0.33,medium,-0.064,EXPANDING_RANGE_VOLATILE,16.08,0.0,-0.839,0.648,7.06,5.89,FALLING,DISTRIBUTION,medium,0.2,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2019-02-25,257.707763671875,DISTRIBUTION,0.33,medium,-0.074,EXPANDING_RANGE_VOLATILE,5.32,0.0,-0.947,0.724,8.65,5.83,FALLING,DISTRIBUTION,medium,1.0,BULLISH_ENGULFING,,0.0,0.0,
2019-02-28,256.8593444824219,DISTRIBUTION,1.0,low,0.285,EXPANDING_RANGE_VOLATILE,28.1,0.0,0.182,0.673,7.77,5.69,RISING,EXPANSION,low,1.0,BULLISH_ENGULFING,,0.0,0.0,
2019-03-06,268.2720642089844,DISTRIBUTION,1.0,low,0.594,EXPANDING_RANGE_VOLATILE,91.01,0.0,0.91,0.871,11.99,5.43,RISING,EXPANSION,low,0.143,"BULLISH_ENGULFING,DOJI",,0.0,0.0,
2019-03-11,270.6331481933594,DISTRIBUTION,1.0,low,0.628,EXPANDING_RANGE_VOLATILE,98.88,0.0,0.989,0.895,12.48,5.43,RISING,EXPANSION,low,1.0,BULLISH_ENGULFING,,0.0,0.0,
2019-03-14,272.286376953125,DISTRIBUTION,1.0,low,0.496,EXPANDING_RANGE_VOLATILE,99.86,0.0,0.586,0.903,12.7,5.36,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2019-03-19,283.2240295410156,EXPANSION,1.0,low,0.504,EXPANDING_RANGE_VOLATILE,99.98,0.0,0.511,1.0,16.66,5.59,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2019-03-25,276.329833984375,EXPANSION,1.0,low,0.487,EXPANDING_RANGE_VOLATILE,100.0,0.0,0.501,0.959,13.31,5.87,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2019-03-28,290.4914855957031,EXPANSION,1.0,low,0.833,HIGHER_HIGHS_HIGHER_LOWS,100.0,1.0,0.5,1.0,18.49,6.34,RISING,EXPANSION,low,0.111,"BULLISH_ENGULFING,DOJI",,0.0,0.0,
2019-04-03,295.3542785644531,EXPANSION,1.0,low,0.833,HIGHER_HIGHS_HIGHER_LOWS,100.0,1.0,0.5,1.0,19.86,6.9,RISING,EXPANSION,low,0.333,"BULLISH_ENGULFING,DOJI",,0.0,0.0,
2019-04-08,293.2307434082031,EXPANSION,1.0,low,0.833,HIGHER_HIGHS_HIGHER_LOWS,100.0,1.0,0.5,1.0,18.43,7.5,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2019-04-11,295.5337219238281,EXPANSION,0.67,high,0.375,HIGHER_HIGHS_HIGHER_LOWS,12.5,1.0,-0.875,1.0,18.82,7.94,FALLING,DISTRIBUTION,high,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2019-04-16,294.0452880859375,EXPANSION,0.67,high,0.339,HIGHER_HIGHS_HIGHER_LOWS,1.56,1.0,-0.984,1.0,17.7,8.62,FALLING,DISTRIBUTION,high,1.0,BULLISH_ENGULFING,,0.0,0.0,
2019-04-23,294.2925109863281,EXPANSION,0.67,high,0.46,HIGHER_HIGHS_HIGHER_LOWS,0.2,1.0,-0.619,1.0,17.35,9.17,FALLING,DISTRIBUTION,high,-0.2,"BEARISH_ENGULFING,BULLISH_ENGULFING",,0.0,0.0,
2019-04-26,300.284912109375,EXPANSION,0.67,high,0.531,HIGHER_HIGHS_HIGHER_LOWS,3.66,1.0,-0.406,1.0,19.19,9.64,RISING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2019-05-03,301.7394104003906,EXPANSION,1.0,low,0.769,HIGHER_HIGHS_HIGHER_LOWS,30.75,1.0,0.308,1.0,19.22,10.17,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2019-05-08,283.2627868652344,EXPANSION,0.67,high,0.526,HIGHER_HIGHS_HIGHER_LOWS,7.18,1.0,-0.422,1.0,11.5,10.72,RISING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2019-05-13,284.2857360839844,EXPANSION,0.67,high,0.336,HIGHER_HIGHS_HIGHER_LOWS,0.9,1.0,-0.991,1.0,11.55,11.13,FALLING,DISTRIBUTION,high,1.0,DOJI,,0.0,0.0,
2019-05-16,301.56488037109375,EXPANSION,0.67,medium,0.181,EXPANDING_RANGE_VOLATILE,3.79,0.0,-0.458,1.0,17.97,11.58,RISING,DISTRIBUTION,medium,1.0,DOJI,SHARK,0.8,0.0,
2019-05-21,332.90869140625,EXPANSION,1.0,low,0.622,EXPANDING_RANGE_VOLATILE,86.48,0.0,0.865,1.0,29.64,12.73,RISING,EXPANSION,low,0.0,,SHARK,0.8,0.0,
2019-05-24,336.2636413574219,EXPANSION,1.0,low,0.661,EXPANDING_RANGE_VOLATILE,98.31,0.0,0.983,1.0,30.43,13.86,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,SHARK,0.8,0.0,
2019-05-29,330.57666015625,EXPANSION,1.0,low,0.543,EXPANDING_RANGE_VOLATILE,99.79,0.0,0.629,1.0,27.69,14.86,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,SHARK,0.8,0.0,
2019-06-03,340.4476623535156,EXPANSION,1.0,low,0.505,EXPANDING_RANGE_VOLATILE,99.97,0.0,0.516,1.0,30.93,15.82,RISING,EXPANSION,low,1.0,"BULLISH_ENGULFING,MORNING_STAR",SHARK,0.8,0.0,
2019-06-07,340.29254150390625,EXPANSION,1.0,low,0.495,EXPANDING_RANGE_VOLATILE,99.42,0.0,0.485,1.0,30.29,16.62,FALLING,EXPANSION,low,-0.333,"BEARISH_ENGULFING,BULLISH_ENGULFING",SHARK,0.8,0.0,
2019-06-12,339.9434509277344,EXPANSION,0.67,medium,0.166,EXPANDING_RANGE_VOLATILE,49.93,0.0,-0.501,1.0,29.65,17.61,FALLING,DISTRIBUTION,medium,-1.0,BEARISH_ENGULFING,SHARK,0.8,0.0,
2019-06-17,336.1279296875,EXPANSION,0.67,high,0.039,EXPANDING_RANGE_VOLATILE,11.75,0.0,-0.883,1.0,27.7,18.33,FALLING,DISTRIBUTION,high,1.0,BULLISH_ENGULFING,SHARK,0.8,0.0,
2019-06-20,347.38067626953125,EXPANSION,0.67,high,0.005,EXPANDING_RANGE_VOLATILE,1.47,0.0,-0.985,1.0,31.48,18.97,FALLING,DISTRIBUTION,high,1.0,BULLISH_ENGULFING,SHARK,0.8,0.0,
2019-06-25,347.118896484375,EXPANSION,0.67,medium,0.129,EXPANDING_RANGE_VOLATILE,0.18,0.0,-0.612,1.0,30.92,19.68,FALLING,DISTRIBUTION,medium,1.0,BULLISH_ENGULFING,SHARK,0.8,-0.6,45
