date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2019-01-21,355.62933349609375,DISTRIBUTION,0.67,high,0.499,HIGHER_HIGHS_HIGHER_LOWS,49.65,1.0,-0.504,1.0,17.33,14.07,FALLING,DISTRIBUTION,high,1.0,BULLISH_ENGULFING,,0.0,0.0,
2019-01-24,349.0276184082031,DISTRIBUTION,0.67,high,0.354,HIGHER_HIGHS_HIGHER_LOWS,6.21,1.0,-0.938,1.0,14.63,13.75,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2019-01-29,331.85369873046875,DISTRIBUTION,0.67,high,0.342,HIGHER_HIGHS_HIGHER_LOWS,0.78,1.0,-0.973,1.0,8.65,13.04,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2019-02-01,339.31646728515625,DISTRIBUTION,0.67,low,-0.186,LOWER_HIGHS_LOWER_LOWS,0.1,-1.0,-0.559,1.0,10.69,12.68,FALLING,DISTRIBUTION,low,0.0,,,0.0,0.0,
2019-02-06,343.765380859375,DISTRIBUTION,0.67,medium,0.164,CONTRACTING_RANGE,0.01,0.0,-0.507,1.0,11.79,12.35,FALLING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
2019-02-11,334.9153137207031,DISTRIBUTION,0.67,medium,0.166,CONTRACTING_RANGE,0.0,0.0,-0.501,1.0,8.55,11.9,FALLING,DISTRIBUTION,medium,1.0,DOJI,,0.0,0.0,
2019-02-15,327.35693359375,DISTRIBUTION,0.67,medium,0.119,CONTRACTING_RANGE,0.0,0.0,-0.5,0.857,5.78,11.35,FALLING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
2019-02-20,330.27508544921875,DISTRIBUTION,0.67,low,-0.211,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.5,0.867,6.43,10.92,FALLING,CONTRACTION,low,1.0,DOJI,,0.0,0.0,
2019-02-25,340.2253723144531,DISTRIBUTION,0.67,low,0.291,LOWER_HIGHS_LOWER_LOWS,87.5,-1.0,0.875,0.998,9.28,10.67,RISING,ACCUMULATION,low,1.0,DOJI,,0.0,0.0,
2019-02-28,335.010986328125,DISTRIBUTION,0.33,low,-0.022,LOWER_HIGHS_LOWER_LOWS,51.63,-1.0,0.049,0.884,7.4,10.28,RISING,ACCUMULATION,low,0.0,,,0.0,0.0,
2019-03-06,355.8684997558594,DISTRIBUTION,0.67,low,0.148,LOWER_HIGHS_LOWER_LOWS,93.95,-1.0,0.444,1.0,13.8,10.05,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2019-03-11,359.59991455078125,DISTRIBUTION,0.67,low,0.32,LOWER_HIGHS_LOWER_LOWS,99.24,-1.0,0.961,1.0,14.57,9.96,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2019-03-14,371.1288757324219,DISTRIBUTION,0.67,low,0.186,LOWER_HIGHS_LOWER_LOWS,99.91,-1.0,0.558,1.0,17.7,9.97,RISING,EXPANSION,low,0.0,,,0.0,0.0,
