date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2019-01-21,6685.87109375,CONTRACTION,1.0,low,-0.838,LOWER_HIGHS_LOWER_LOWS,0.02,-1.0,-0.513,-1.0,-12.88,-9.88,FALLING,CONTRACTION,low,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2019-01-24,6530.23486328125,CONTRACTION,1.0,low,-0.834,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.502,-1.0,-14.61,-9.65,FALLING,CONTRACTION,low,0.333,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2019-01-29,6053.81884765625,CONTRACTION,1.0,low,-0.833,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.5,-1.0,-20.46,-9.86,FALLING,CONTRACTION,low,1.0,"BULLISH_ENGULFING,DOJI",,0.0,0.0,
2019-02-01,6457.60986328125,CONTRACTION,0.67,high,-0.5,LOWER_HIGHS_LOWER_LOWS,50.0,-1.0,0.5,-1.0,-14.78,-9.95,RISING,ACCUMULATION,high,1.0,"BULLISH_ENGULFING,DOJI",,0.0,0.0,
2019-02-06,6662.68359375,CONTRACTION,0.33,high,-0.021,CONTRACTING_RANGE,93.75,0.0,0.938,-1.0,-11.75,-9.95,RISING,ACCUMULATION,high,1.0,DOJI,,0.0,0.0,
2019-02-11,6657.58154296875,CONTRACTION,0.33,high,-0.008,CONTRACTING_RANGE,99.22,0.0,0.977,-1.0,-11.52,-9.95,RISING,ACCUMULATION,high,0.0,,,0.0,0.0,
2019-02-15,6427.6982421875,CONTRACTION,0.67,low,0.187,HIGHER_HIGHS_HIGHER_LOWS,99.9,1.0,0.56,-1.0,-14.28,-10.12,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2019-02-20,6353.359375,CONTRACTION,0.67,low,-0.002,HIGHER_HIGHS_HIGHER_LOWS,82.88,1.0,-0.006,-1.0,-14.98,-10.14,FALLING,DISTRIBUTION,low,1.0,DOJI,,0.0,0.0,
2019-02-25,6422.92138671875,CONTRACTION,0.67,low,-0.623,EXPANDING_RANGE_VOLATILE,13.19,0.0,-0.868,-1.0,-13.76,-10.3,FALLING,CONTRACTION,low,-0.2,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2019-02-28,6334.6220703125,CONTRACTION,0.67,low,-0.59,EXPANDING_RANGE_VOLATILE,22.99,0.0,-0.77,-1.0,-14.67,-10.62,FALLING,CONTRACTION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
