date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2019-01-21,1560.639892578125,ACCUMULATION,0.67,medium,0.017,LOWER_HIGHS_LOWER_LOWS,87.5,-1.0,0.875,0.176,1.57,1.94,RISING,ACCUMULATION,medium,1.0,"BULLISH_ENGULFING,DOJI",,0.0,0.0,
2019-01-24,1554.7938232421875,ACCUMULATION,0.67,high,0.034,LOWER_HIGHS_LOWER_LOWS,98.44,-1.0,0.984,0.117,0.83,1.51,RISING,ACCUMULATION,high,0.0,,,0.0,0.0,
2019-01-29,1621.186767578125,ACCUMULATION,0.33,medium,-0.026,LOWER_HIGHS_LOWER_LOWS,99.8,-1.0,0.619,0.303,4.71,1.34,RISING,ACCUMULATION,medium,0.0,,,0.0,0.0,
2019-02-01,1659.779296875,ACCUMULATION,0.33,low,-0.025,LOWER_HIGHS_LOWER_LOWS,99.98,-1.0,0.515,0.411,6.8,1.43,RISING,ACCUMULATION,low,-1.0,DOJI,,0.0,0.0,
2019-02-06,1696.4508056640625,ACCUMULATION,0.67,low,0.008,LOWER_HIGHS_LOWER_LOWS,100.0,-1.0,0.502,0.522,8.73,1.7,RISING,ACCUMULATION,low,0.0,,,0.0,0.0,
2019-02-11,1689.1737060546875,ACCUMULATION,0.33,low,-0.007,LOWER_HIGHS_LOWER_LOWS,100.0,-1.0,0.5,0.479,7.91,1.68,RISING,ACCUMULATION,low,0.0,,,0.0,0.0,
2019-02-15,1659.5750732421875,ACCUMULATION,1.0,low,0.288,EXPANDING_RANGE_VOLATILE,100.0,0.0,0.5,0.365,5.74,1.56,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2019-02-20,1565.5870361328125,ACCUMULATION,0.33,low,-0.278,EXPANDING_RANGE_VOLATILE,12.5,0.0,-0.875,0.041,-0.41,1.23,FALLING,DISTRIBUTION,low,1.0,DOJI,,0.0,0.0,
2019-02-25,1623.149169921875,ACCUMULATION,0.67,high,0.071,HIGHER_HIGHS_HIGHER_LOWS,1.56,1.0,-0.984,0.197,3.06,0.87,FALLING,DISTRIBUTION,high,1.0,DOJI,,0.0,0.0,
2019-02-28,1621.7589111328125,ACCUMULATION,0.33,low,-0.027,CONTRACTING_RANGE,12.33,0.0,-0.255,0.173,2.71,0.75,RISING,DISTRIBUTION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
