date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value
2019-01-23,10831.5,ACCUMULATION,0.67,low,0.587,HIGHER_HIGHS_HIGHER_LOWS,95.35
2019-01-28,10661.5498046875,CONTRACTION,0.33,low,0.088,HIGHER_HIGHS_HIGHER_LOWS,37.27
2019-01-31,10830.9501953125,CONTRACTION,0.33,low,0.004,HIGHER_HIGHS_HIGHER_LOWS,4.66
2019-02-05,10934.349609375,DISTRIBUTION,0.67,low,0.246,HIGHER_HIGHS_HIGHER_LOWS,19.82
2019-02-08,10943.599609375,EXPANSION,1.0,low,0.621,HIGHER_HIGHS_HIGHER_LOWS,84.04
2019-02-14,10746.0498046875,ACCUMULATION,0.67,medium,0.603,HIGHER_HIGHS_HIGHER_LOWS,87.95
2019-02-19,10604.349609375,CONTRACTION,0.33,low,0.021,HIGHER_HIGHS_HIGHER_LOWS,20.25
2019-02-22,10791.650390625,CONTRACTION,0.67,low,-0.008,HIGHER_HIGHS_HIGHER_LOWS,2.53
2019-02-27,10806.650390625,CONTRACTION,0.33,low,0.162,HIGHER_HIGHS_HIGHER_LOWS,7.68
2019-03-05,10987.4501953125,EXPANSION,1.0,low,0.584,HIGHER_HIGHS_HIGHER_LOWS,71.25
2019-03-08,11035.400390625,EXPANSION,1.0,low,0.676,HIGHER_HIGHS_HIGHER_LOWS,96.41
2019-03-13,11341.7001953125,EXPANSION,1.0,low,0.661,HIGHER_HIGHS_HIGHER_LOWS,99.55
2019-03-18,11462.2001953125,EXPANSION,1.0,low,0.601,HIGHER_HIGHS_HIGHER_LOWS,99.94
2019-03-22,11456.900390625,EXPANSION,1.0,low,0.593,HIGHER_HIGHS_HIGHER_LOWS,99.99
2019-03-27,11445.0498046875,EXPANSION,1.0,low,0.592,HIGHER_HIGHS_HIGHER_LOWS,100.0
2019-04-02,11713.2001953125,EXPANSION,1.0,low,0.635,HIGHER_HIGHS_HIGHER_LOWS,100.0
2019-04-05,11665.9501953125,EXPANSION,1.0,low,0.63,HIGHER_HIGHS_HIGHER_LOWS,100.0
2019-04-10,11584.2998046875,DISTRIBUTION,0.67,low,0.288,HIGHER_HIGHS_HIGHER_LOWS,50.0
2019-04-15,11690.349609375,DISTRIBUTION,0.67,high,0.162,HIGHER_HIGHS_HIGHER_LOWS,6.25
2019-04-22,11594.4501953125,DISTRIBUTION,0.67,low,0.389,HIGHER_HIGHS_HIGHER_LOWS,25.78
2019-04-25,11641.7998046875,DISTRIBUTION,0.67,high,0.151,HIGHER_HIGHS_HIGHER_LOWS,3.22
2019-05-02,11724.75,DISTRIBUTION,0.67,medium,0.239,HIGHER_HIGHS_HIGHER_LOWS,0.4
2019-05-07,11497.900390625,DISTRIBUTION,0.67,medium,0.28,HIGHER_HIGHS_HIGHER_LOWS,0.05
2019-05-10,11278.900390625,DISTRIBUTION,0.67,low,0.26,HIGHER_HIGHS_HIGHER_LOWS,0.01
2019-05-15,11157.0,DISTRIBUTION,0.67,low,0.245,HIGHER_HIGHS_HIGHER_LOWS,0.0
2019-05-20,11828.25,EXPANSION,1.0,low,0.683,HIGHER_HIGHS_HIGHER_LOWS,50.0
2019-05-23,11657.0498046875,EXPANSION,1.0,low,0.807,HIGHER_HIGHS_HIGHER_LOWS,93.75
2019-05-28,11928.75,EXPANSION,1.0,low,0.865,HIGHER_HIGHS_HIGHER_LOWS,99.22
2019-05-31,11922.7998046875,EXPANSION,1.0,low,0.727,HIGHER_HIGHS_HIGHER_LOWS,99.9
2019-06-06,11843.75,EXPANSION,1.0,low,0.691,HIGHER_HIGHS_HIGHER_LOWS,99.2
2019-06-11,11965.599609375,EXPANSION,1.0,low,0.604,HIGHER_HIGHS_HIGHER_LOWS,88.75
2019-06-14,11823.2998046875,DISTRIBUTION,0.67,high,0.255,HIGHER_HIGHS_HIGHER_LOWS,17.37
2019-06-19,11691.4501953125,DISTRIBUTION,0.67,high,0.183,HIGHER_HIGHS_HIGHER_LOWS,2.17
2019-06-24,11699.650390625,DISTRIBUTION,0.67,medium,0.289,HIGHER_HIGHS_HIGHER_LOWS,0.27
2019-06-27,11841.5498046875,DISTRIBUTION,0.67,medium,0.359,HIGHER_HIGHS_HIGHER_LOWS,0.03
2019-07-02,11910.2998046875,DISTRIBUTION,0.67,low,0.508,HIGHER_HIGHS_HIGHER_LOWS,13.2
2019-07-05,11811.150390625,EXPANSION,1.0,low,0.752,HIGHER_HIGHS_HIGHER_LOWS,66.92
2019-07-10,11498.900390625,DISTRIBUTION,0.67,medium,0.21,HIGHER_HIGHS_HIGHER_LOWS,18.62
2019-07-15,11588.349609375,DISTRIBUTION,0.67,high,0.169,HIGHER_HIGHS_HIGHER_LOWS,3.11
2019-07-18,11596.900390625,DISTRIBUTION,0.67,medium,0.258,HIGHER_HIGHS_HIGHER_LOWS,0.39
2019-07-23,11331.0498046875,DISTRIBUTION,0.67,low,0.276,HIGHER_HIGHS_HIGHER_LOWS,0.05
2019-07-26,11284.2998046875,DISTRIBUTION,0.67,low,0.277,HIGHER_HIGHS_HIGHER_LOWS,0.01
2019-07-31,11118.0,DISTRIBUTION,0.67,low,0.248,HIGHER_HIGHS_HIGHER_LOWS,0.0
2019-08-05,10862.599609375,DISTRIBUTION,0.67,low,0.199,HIGHER_HIGHS_HIGHER_LOWS,0.0
2019-08-08,11032.4501953125,DISTRIBUTION,0.67,low,0.214,HIGHER_HIGHS_HIGHER_LOWS,0.0
2019-08-14,11029.400390625,EXPANSION,1.0,low,0.494,HIGHER_HIGHS_HIGHER_LOWS,37.5
2019-08-20,11017.0,EXPANSION,1.0,low,0.663,HIGHER_HIGHS_HIGHER_LOWS,92.19
2019-08-23,10829.349609375,CONTRACTION,0.33,low,0.082,HIGHER_HIGHS_HIGHER_LOWS,30.27
2019-08-28,11046.099609375,EXPANSION,1.0,low,0.276,EXPANDING_RANGE_VOLATILE,91.28
2019-09-03,10797.900390625,ACCUMULATION,0.67,medium,0.276,EXPANDING_RANGE_VOLATILE,95.73
2019-09-06,10946.2001953125,ACCUMULATION,0.67,low,0.042,EXPANDING_RANGE_VOLATILE,87.56
2019-09-12,10982.7998046875,ACCUMULATION,0.67,low,0.171,EXPANDING_RANGE_VOLATILE,98.05
2019-09-17,10817.599609375,ACCUMULATION,0.67,low,0.068,EXPANDING_RANGE_VOLATILE,91.66
2019-09-20,11274.2001953125,CONTRACTION,0.67,low,-0.169,CONTRACTING_RANGE,51.8
2019-09-25,11440.2001953125,EXPANSION,1.0,low,0.18,CONTRACTING_RANGE,87.08
2019-09-30,11474.4501953125,EXPANSION,1.0,low,0.342,CONTRACTING_RANGE,98.38
2019-10-04,11174.75,ACCUMULATION,0.67,low,0.452,HIGHER_HIGHS_HIGHER_LOWS,94.44
2019-10-10,11234.5498046875,CONTRACTION,0.33,low,0.016,HIGHER_HIGHS_HIGHER_LOWS,14.0
2019-10-15,11428.2998046875,ACCUMULATION,0.67,low,0.514,HIGHER_HIGHS_HIGHER_LOWS,71.09
2019-10-18,11661.849609375,EXPANSION,1.0,low,0.683,HIGHER_HIGHS_HIGHER_LOWS,95.13
2019-10-24,11582.599609375,EXPANSION,1.0,low,0.632,HIGHER_HIGHS_HIGHER_LOWS,99.39
2019-10-30,11844.099609375,EXPANSION,1.0,low,0.579,HIGHER_HIGHS_HIGHER_LOWS,99.92
2019-11-04,11941.2998046875,EXPANSION,1.0,low,0.583,HIGHER_HIGHS_HIGHER_LOWS,99.99
2019-11-07,12012.0498046875,EXPANSION,1.0,low,0.595,HIGHER_HIGHS_HIGHER_LOWS,100.0
2019-11-13,11840.4501953125,DISTRIBUTION,0.67,low,0.24,HIGHER_HIGHS_HIGHER_LOWS,50.0
2019-11-18,11884.5,DISTRIBUTION,0.67,medium,0.104,HIGHER_HIGHS_HIGHER_LOWS,6.25
2019-11-21,11968.400390625,EXPANSION,1.0,low,0.603,HIGHER_HIGHS_HIGHER_LOWS,50.78
2019-11-26,12037.7001953125,EXPANSION,1.0,low,0.64,HIGHER_HIGHS_HIGHER_LOWS,57.57
2019-11-29,12056.0498046875,EXPANSION,1.0,low,0.751,HIGHER_HIGHS_HIGHER_LOWS,89.31
2019-12-04,12043.2001953125,DISTRIBUTION,0.67,medium,0.187,HIGHER_HIGHS_HIGHER_LOWS,19.39
2019-12-09,11937.5,DISTRIBUTION,0.67,medium,0.118,HIGHER_HIGHS_HIGHER_LOWS,2.42
2019-12-12,11971.7998046875,DISTRIBUTION,0.67,medium,0.219,HIGHER_HIGHS_HIGHER_LOWS,0.3
2019-12-17,12165.0,DISTRIBUTION,0.67,low,0.338,HIGHER_HIGHS_HIGHER_LOWS,3.79
2019-12-20,12271.7998046875,EXPANSION,1.0,low,0.764,HIGHER_HIGHS_HIGHER_LOWS,81.59
2019-12-26,12126.5498046875,EXPANSION,1.0,low,0.791,HIGHER_HIGHS_HIGHER_LOWS,95.38
2019-12-31,12168.4501953125,EXPANSION,1.0,low,0.617,HIGHER_HIGHS_HIGHER_LOWS,90.96
2020-01-03,12226.650390625,DISTRIBUTION,0.67,medium,0.218,HIGHER_HIGHS_HIGHER_LOWS,19.33
2020-01-08,12025.349609375,DISTRIBUTION,0.67,medium,0.133,HIGHER_HIGHS_HIGHER_LOWS,2.42
