date,type,price
2016-02-25,LOW,6970.60009765625
2016-09-08,HIGH,8952.5
2016-12-26,LOW,7908.25
2018-01-29,HIGH,11130.400390625
2018-03-23,LOW,9998.0498046875
2018-08-28,HIGH,11738.5
2018-10-26,LOW,10030.0
2019-06-03,HIGH,12088.5498046875
2019-09-19,LOW,10704.7998046875
2020-01-14,HIGH,12362.2998046875
2020-03-23,LOW,7610.25
2020-04-30,HIGH,9859.900390625
2020-05-18,LOW,8823.25
2020-10-14,HIGH,11971.0498046875
2020-12-21,LOW,13328.400390625
2021-10-18,HIGH,18477.05078125
2021-12-20,LOW,16614.19921875
2022-01-17,HIGH,18308.099609375
2022-03-07,LOW,15863.150390625
2022-04-04,HIGH,18053.400390625
2022-06-17,LOW,15293.5
2022-12-01,HIGH,18812.5
2023-03-24,LOW,16945.05078125
2024-09-26,HIGH,26216.05078125
2025-03-04,LOW,22082.650390625
2026-01-02,HIGH,26328.55078125
2026-03-30,LOW,22331.400390625
2026-08-03,HIGH,24774.30078125
