indicator,direction,n,median_5d,mean_5d,median_10d,mean_10d,median_20d,mean_20d
ZigZag,bullish,326,0.36,0.2,0.43,0.41,0.94,0.65
ZigZag,neutral,174,0.44,0.21,0.49,0.24,1.2,1.05
ZigZag,bearish,127,0.19,0.31,0.7,0.96,1.48,1.72
STC,bullish,312,0.2,0.21,0.42,0.51,1.45,1.37
STC,neutral,3,-0.81,-0.3,1.9,0.51,1.8,1.41
STC,bearish,312,0.54,0.25,0.59,0.44,0.73,0.58
Candlestick Recognition,bullish,117,0.23,0.08,0.82,0.43,1.17,0.7
Candlestick Recognition,neutral,319,0.25,0.14,0.33,0.32,0.8,0.74
Candlestick Recognition,bearish,191,0.57,0.46,0.74,0.78,1.48,1.55
Harmonic Patterns,bullish,5,0.52,1.1,5.01,3.4,4.22,4.54
Harmonic Patterns,neutral,618,0.35,0.21,0.51,0.45,1.13,0.98
Harmonic Patterns,bearish,4,1.9,1.22,1.41,0.86,-3.23,-3.41
Gann Time Cycles,bullish,20,-0.3,-0.01,0.56,0.64,1.66,1.35
Gann Time Cycles,neutral,542,0.43,0.24,0.52,0.47,1.03,0.97
Gann Time Cycles,bearish,65,0.06,0.15,0.45,0.48,1.43,0.91
