indicator,zigzag_score,ACCUMULATION,CONTRACTION,DISTRIBUTION,EXPANSION,stc_score,candlestick_score,harmonic_score,gann_score,obv_score,cmf_score,volume_confirmation_score
ZigZag,bearish,0.471,0.603,0.08,0.085,,,,,,,
ZigZag,bullish,0.118,0.176,0.566,0.756,,,,,,,
ZigZag,neutral,0.412,0.221,0.354,0.158,,,,,,,
STC,,0.441,0.471,0.553,0.483,bearish,,,,,,
STC,,0.539,0.529,0.442,0.517,bullish,,,,,,
STC,,0.02,0.0,0.004,0.0,neutral,,,,,,
Candlestick Recognition,,0.284,0.147,0.332,0.333,,bearish,,,,,
Candlestick Recognition,,0.176,0.279,0.199,0.154,,bullish,,,,,
Candlestick Recognition,,0.539,0.574,0.469,0.513,,neutral,,,,,
Harmonic Patterns,,0.039,0.0,0.0,0.0,,,bearish,,,,
Harmonic Patterns,,0.0,0.0,0.022,0.0,,,bullish,,,,
Harmonic Patterns,,0.961,1.0,0.978,1.0,,,neutral,,,,
Gann Time Cycles,,0.118,0.029,0.058,0.162,,,,bearish,,,
Gann Time Cycles,,0.029,0.074,0.053,0.009,,,,bullish,,,
Gann Time Cycles,,0.853,0.897,0.889,0.829,,,,neutral,,,
On-Balance Volume,,0.324,0.544,0.504,0.282,,,,,bearish,,
On-Balance Volume,,0.598,0.397,0.451,0.667,,,,,bullish,,
On-Balance Volume,,0.078,0.059,0.044,0.051,,,,,neutral,,
Chaikin Money Flow,,0.196,0.441,0.367,0.141,,,,,,bearish,
Chaikin Money Flow,,0.598,0.294,0.31,0.603,,,,,,bullish,
Chaikin Money Flow,,0.206,0.265,0.323,0.256,,,,,,neutral,
Volume-Confirmed Pivot,,0.157,0.118,0.053,0.085,,,,,,,bearish
Volume-Confirmed Pivot,,0.02,0.103,0.301,0.274,,,,,,,bullish
Volume-Confirmed Pivot,,0.824,0.779,0.646,0.641,,,,,,,neutral
